message,is_toxic,Perspective_Class,DPCNN,Strudel,Hate_Speech,Keita_Kurita,bagofcommunities
"Oh crap, wrong build target.",1,1,1,1,0,1,1
https://android-review.googlesource.com/#/c/102926/ removes this crap from bionic's <grp.h>.,1,1,1,1,0,1,1
"I think this solution is braindead also, like the previous one. Can we try to ass the null.? Anyway, +2 because safe.",1,1,1,1,1,0,1
"no, but i can change it to Lollipop. i just hate these stupid-ass names, and don't have an API level yet.",1,1,1,1,1,1,1
"as long as we export adb_dirname, i think that's actually a pro --- makes it easier to not fuck up this kind of thing for Windows in future.",1,1,1,1,1,1,1
"device is DOA because this > 31 chars in length.
 
 f***ing system properties�",1,1,0,1,0,1,1
"Ok I am going back to glasses, I cant read what I am typing, contacts suck.
 
 end up with an empty certificate...",1,1,1,1,0,1,0
"i realize FatalError shouldn't return, but if we're being this anal, it seems odd that there's no free(3).",1,1,0,1,0,0,1
"damn, will get rid of this.",1,1,1,1,0,1,1
"dammit. I'll fix, upload and submit.",1,1,0,1,0,1,0
Probably. That was me being almost as stupid as the original code.,1,1,1,1,0,1,1
"I'm not sure that this is really possible, but I'm anal and wanted to add it just in case.",1,1,0,1,0,0,1
crap. our first LP64 turd in struct soinfo :-(,1,1,1,1,0,1,0
sh**!,1,1,0,1,0,0,0
"Fixed. Aaargh, damn intellij. It forgets my style prefs every time i close it.",1,1,0,1,0,0,0
does this have any unintended side-effects? can anyone observe that we've fucked with the flags in any way?,1,1,1,1,1,1,1
Duh I suck,1,1,1,1,0,1,1
"Wow, there's no way to make this automatic? Seems like a pain in the ass to recalculate every time we insert/remove a button.",1,1,1,1,1,1,1
Damn it...,1,1,1,1,0,1,1
Da f*** is this?!?!,1,1,0,1,0,1,0
Why you changed this to %ecx? it is garbage here.,1,1,0,1,0,0,1
"ugly, but its essentially an unrolled loop...",1,1,0,1,0,1,1
Damn it. Dead debug code I didn't quite sweep up.,1,1,1,1,0,1,1
"I guess WSA stands for Windows Sucks Absolutely.
 I will remove this code, it means we will just have to live with the code retrying until it dies.",1,1,1,1,0,0,0
crap. i suspect we're really just papering over the real bug here.,1,1,1,1,0,1,0
"This won't break if that's not true, but it'll keep us from being a bunch of idiots if we do break it, so yeah. And it does protect against duplicates.
 
 Done.",1,1,1,1,0,1,1
What an ugly constructor :-),1,1,0,1,0,1,1
dammit. hehe.,1,1,1,1,0,1,0
"Damn it, how'd that slip through...",1,1,1,1,0,0,1
BTW. One of the reasons I reverted this is that this hidden attribute is used by ZipInputStream to modify the behaviour of close. What a load of crap,1,1,1,1,0,1,1
darn..,1,1,0,1,0,0,0
"yes, you're right. damn!",1,1,1,1,0,1,0
"Better yet, could we get rid of this awful interface?
 
 I suppose that will require fixing up the various crappy WiFi drivers...",1,1,0,1,0,0,1
"s/notice/notify/?
 
 s/make/take/ (no good reason why you can't say ""make""; just a stupid English rule)",1,1,1,1,0,1,1
aaaaaaaaaaaarrrrrgggg! damnit. Let me fix that.,1,1,1,1,0,0,1
ah crap how embarrassing... :-( Abandoning.,1,1,1,1,0,1,0
"explain why, because this is ""obviously"" stupid :-)",1,1,1,1,0,1,1
"damn them! thanks alex, I'll change it in the next round.",1,1,1,1,0,1,0
"even reading the bug, this seems very bogus to me. can we just lose all this crap?",1,1,1,1,0,1,1
Ignorant copy-paste from atrace. Not sure why they did it...,1,1,0,1,0,0,0
This sucks. We should not need to do this. Could we templatized The users (like CodeGenerator) of Label instead?,1,1,1,1,0,1,1
damn the mac!,1,1,1,1,0,1,0
"Is it not possible something like this?
 
 try {
  new ByteStreamSucker(is, os, true).suck();
 } finally {
  is.close();
 }",1,1,1,1,0,1,0
"wtf, drop this wurd",1,1,0,1,0,1,1
"for the record, dprint() always appends a \n, but XLOG() doesn't. Yes, stupid I know, your patch is ok :)",1,1,1,1,0,1,0
"Stupid comments:
 
 There are several lines in this file that appear to be too long.
 What's up with the 2-space indent? Do we have different formatting here for a reason?",1,1,0,1,0,1,1
"yuck, death to MethodHelpers",1,1,0,1,0,1,1
"Btw, we really suck at naming consistency (camelCase versus underscores). This looks good to me, though.",1,1,0,1,0,1,0
"Erf, templating CodeGenerator just sucks. So what about my first suggestion? Just put the Labels in SlowPathCode...",1,1,0,1,0,1,0
Code was moved. I agree that magic constants suck.,1,1,1,1,0,1,1
"but is that what we want (and what linus intended), or just us carrying over old stupidity into 64-bit?",1,1,0,1,0,0,1
crap yes.,1,1,1,1,0,1,0
This has a different ordering... silly.,1,1,0,1,0,0,0
"not really...
 
 1. we removed that project.
 
 2. that project doesn't have that bug upstream. some Android idiot introduced that bug locally.
 
 the right fix is to just remove that project again...",1,1,0,1,0,1,0
Gross.,1,1,0,1,0,0,1
"arse!
 
 good job one of us can read�",1,1,1,1,0,1,0
Huh? Am I stupid? How's that equivalent?,1,1,1,1,0,1,1
"btw, one nasty Android build system gotcha is that all your locals in your makefiles end up in the same namespace. best practice is to prefix everything with your library name to avoid collisions with strangers you don't even know exist. so libchrome_commonCppExtension et cetera.
 
 yeah, it's stupid, and, yeah, the new build system won't have this problem, and, yeah, you usually get away with it, but it's *really* hard to debug when it bites you...",1,1,1,1,0,0,1
you shouldn't need this any more. i killed AndroidConfig.h a while ago.,1,1,0,1,0,0,1
try_boundary = nullptr;,1,1,0,1,0,0,1
"Nah, if you set the data pointer in the constructor and still expect the vector to do anything useful, good luck. I don't see the point in adding run time tests for such idiocy :)",1,1,0,1,0,0,0
"I'm just going to get rid of all this noinline crap, the pragma should be sufficient.",1,1,1,1,0,1,1
No worries! the part of the code is pretty ugly and it is sooooo hacky! :-),1,1,0,1,0,0,0
"i really want to replace all this crap code with std::string, but not today.",1,1,1,1,0,0,0
"i don't think it makes any sense to divide elfutils up like this. it doesn't help anyone. only perf and ltrace use elfutils, and they need most of the libraries.
 
 we're actually fucking this up anyway because libebl tries to dlopen libebl_$(arch), and we're not building those libraries yet. we get away with it because the caller is useless on the target anyway and picks up the OS' libraries on the host! but we should fix that, at which point this probably won't build with clang.",1,1,1,1,0,0,1
"Do not modify, but could be :
 
  try {
  new ByteStreamSucker(is, os, true).suck();
  } finally {
  is.close(); // is != null or check before
  }",1,1,1,1,0,1,0
"oh, does AndroidConfig.h prevent you from fixing this in the Android.mk because you can't -D because that's a redefinition, and you can't -U because the -include hasn't been processed yet? (this is the kind of bullshit that's motivated to slowly kill AndroidConfig.h.)
 
 if it helps you do the right thing here, let's submit the build/ patch anyway. given what i think you're saying here, i think that gets both of us closer to our goal of sanity throughout the tree.
 
 (llvm has the exact same problem.)",1,1,0,1,0,0,1
"back in the real world, it's the maximum value in a size_t.
 
 you'd check it's null so you know the implementation didn't fuck up, overflow, and return you some small allocation.",1,1,1,1,1,1,1
"damn it, I missed this bug in my review. I'll submit a follow up.",1,1,1,1,0,0,0
"wtf?
 
 you _really_ want reflection here.",1,1,1,1,0,1,0
i meant strcmp == 0 you crazy c programmers :-),1,1,1,1,0,0,1
1 sucks :) I actually prefer the current version. Any input from Andreas?,1,1,1,1,0,0,1
"Ah crap, I didn't. IntelliJ magic FTW. (It did this in other places but I removed it)",1,1,1,1,0,1,0
"if these aren't meant to be in the NDK, they should probably have __ names. if they are meant to be in the NDK, we should go the malloc_info route, not invent our own crap.",1,1,1,1,0,0,0
"so this is a more interesting test than the old one, which just fucked with the TLS slot value. this is actually testing what we're looking for. unfortunately, it doesn't fix the bug that got me looking at this code in the first place, which is that this test fails on x86-64.
 
 ideas?",1,1,0,1,0,0,1
ahh damn eclipse...,1,1,1,1,0,1,0
Darn it! Tabs.,1,1,0,1,0,0,0
"well, if it's awkward to use in practice that's still a bug. if people are used to dealing with 0x87654321 it's a pain in the ass if they need to translate that to a negative number.
 
 maybe ll (so people have the choice) and then range check ourselves? (since right now you can type ""ioctl /dev/whatever crap"" and it'll do _something_, ignoring the fact that you didn't supply a number at all.)",1,1,1,1,0,0,1
"I see. That restriction sucks. Let's keep it the way you have it, otherwise we'll have to have this super uber ModuleAdapter, which sucks too.",1,1,1,1,0,1,0
DISGUSTING,1,1,1,1,0,1,1
"Ugh. I should probably stop using `repo upload --cbr . --re=""...""`, but the interface for adding reviewers on gerrit sucks :(",1,1,0,1,0,0,0
"The ""if tag is null do magic"" thing is kind of shitty API-wise. I don't mind doing some kind of sanity checking to help catch mistakes but I don't think that's the right interface.",1,1,0,1,0,0,0
"Crap, that should not be there. This was testing some -Weverything related warning (it thinks w and h are not initialized below, though all the paths satisfying base and png do initialize them).
 
 I might do a style pass and change all such C-style tests, but it's unrelated to actually fixing triggered warnings.",1,1,1,1,0,1,1
damn :) Thanks for finding this.,1,1,0,1,0,0,0
"Damn it, that wasn't supposed to be there. I'll remove it.",1,1,1,1,0,0,1
useless,1,1,0,1,0,1,1
Useless,1,1,0,1,0,1,1
Useless,1,1,0,1,0,1,1
useless,1,1,0,1,0,1,1
useless,1,1,0,1,0,1,1
crap. bizarre that i got the opposite one in each of these files!,1,1,1,1,0,1,1
i don't like this. we deliberately moved away from all this because it encourages people (including us) to pull magic numbers from our asses.,1,1,1,1,1,1,1
"ugh, TODO remove this turd.",1,1,1,1,0,0,0
"use
 
 ha! you have a brain tumor too!",1,1,0,1,0,1,0
"Should really be moved to using unittest... This crap was already here, so no need for this CL, but it would be nice to cleanup eventually.",1,1,0,1,0,0,0
"Gimme a sec, Mark. I'm stuck in some crazy rebase hell.",1,1,1,1,0,1,0
Seems your condition is a bit screwed up here...,1,1,0,1,0,0,1
"And damn it gerrit, these comments were on the ""This is technically incorrect"" box, not here!",1,1,0,1,0,1,1
Did you fool git into thinking there was a change here?,1,1,1,1,0,0,1
"This is so dumb, but it works. So ¯\_(?)_/¯.",1,1,1,1,0,1,1
"This is stupid, can we just do the proper fix and stop passing bases as regs, indexes as bases, yadda yadda. The code is getting all caught up about something trivial. If we need new encoding kinds then that's fine.",1,1,1,1,0,1,1
Why not return the set? Arrays are ugly.,1,1,0,1,0,1,1
we fucked up years ago when we made sigset_t 32 bits (along with time_t and off_t and possibly others). we can't unfuck that without breaking compatibility.,1,1,1,1,1,1,1
should we clean this crap up and just trust the exit syscall not to return? i don't understand the motivation for this.,1,1,1,1,0,1,1
"Ah, damn it. Forgot to amend. Thanks!",1,1,1,1,0,1,0
one day we should get rid of these gotos...,1,1,0,1,0,0,1
"I take that back trying even quoting the variable and moving to single brackets, it complained.
 
 On ubuntu sh is symlinked to dash.. dash sucks.
 
 LSB release shows this:
 Distributor ID: Ubuntu
 Description: Ubuntu 14.04.2 LTS
 Release: 14.04
 Codename: trusty",1,1,0,1,0,0,0
"Scumbag gerrit threw away my comment.
 
 tl;didn't rewrite: Do it for Linux too. That's how update.sh worked.",1,1,1,1,0,0,0
"Dammit, I somehow fixed it in the old file in a different copy of aosp.
 
 Fixed in the right place.",1,1,0,1,0,0,0
"damn, this conflicts with my change in progress :-(",1,1,1,1,0,0,1
Maybe do a static import for GraphicsUtil.setupAntialiasing so there wouldn't be this ugly fqcn here?,1,1,0,1,0,0,1
"?????? I'm trying to figure out where that came from.
 
 This change has been a disaster right from the outset - for some reason my brain decides to go fuck things up.
 
 I think the intention here was to detect cases where ICU lied to us about the new size, but it should return U_BUFFER_OVERFLOW_ERROR again and we'd fail.",1,1,1,1,1,1,1
"yeah, this is what i was worried about.
 
 (insert rant here about the stupidity of using configure instead of sizeof in the first place!)
 
 i usually hack around this by manually rewriting them as sizeof(long) et cetera.",1,1,0,1,0,0,1
"Ah, what a silly oversight. Fixing.",1,1,0,1,0,0,0
If there is something in the fifo then this silently fails. thats kinda sucky?,1,1,0,1,0,1,0
this is REALLY gross!! You don't need this check here. Just have your README say you must have it installed. The make target will fail anyway when you try to run VBoxManage.,1,1,0,1,0,0,1
"really? that seems retarded. can't you fix that?
 
 the uapi mips stat.h has ""unsigned long st_mtime"". are you sure the real problem here isn't that bionic's stat.h has the wrong definition for mips64's struct stat?",1,1,0,1,1,0,1
this shouldn't be in this file. i'm not sure it should be anywhere. why don't we just 'static inline' all this crap? none of it is public API.,1,1,1,1,0,1,1
"Might be worth keeping since it's run as part of CTS. 
 
 Presumably nobody is stupid enough to modify dalvik and implement destroy() , stop() and stop(Throwable)",1,1,1,1,0,0,1
This kind of looks silly.... !a_loc.Equals(b_loc) is a lot more readable.,1,1,0,1,0,0,0
"Damn, thanks for checking this!",1,1,0,1,0,0,0
"it gave up here and missed this trivial rename too. your explanation of there being too many files makes sense. stupid git.
 
 (although i guess since the package changed, it could have been that too. if you don't understand what a package is, this file looks like it changed a lot!)",1,1,0,1,0,0,0
"it doesn't. see their FIXME comment. the test was wrong, at least in the sense that our behavior and the RI's behavior was the same (and also the obvious behavior --- charset names and aliases are always checked for validity, and always checked by the same rules). the RI's documentation agrees with this behavior too, so i've no idea why they pulled this test out of their collective ass.",1,1,1,1,0,0,1
"isn't there a way to do this in python? this won't work on Windows. maybe just call ""adb devices"" anyway and include the *actual* failure in the exception you throw? (andrewhsieh's scripts were always a pain in the ass guessing what they thought went wrong and not even providing the evidence they'd used to make that guess.)",1,1,1,1,1,0,1
we should fix time_t and off_t and sigset_t (and any others we fucked up in the 32-bit ABIs) for 64-bit.,1,1,1,1,1,1,1
"nothing. this wasn't actually the problem. the WIN32 was. srhines has a hack in llvm that uses WIN32 rather than _WIN32. one question is: ""should we fix that to _WIN32 and remove the hack in the build system?"" but a deeper question is ""why did srhines need that llvm hack in the first place? is it because we polluted his environment with _FILE_OFFSET_BITS=64? in which case, should we stop doing that and just add it explicitly to adb and fastboot?""
 
 (plus: when will 32-bit Windows die so we can get past all this crap?!)",1,1,1,1,0,0,1
"damn, this is no longer used, I'll remove that.",1,1,1,1,0,0,1
"wokay.
 
 So that's similar to malloc failing even with overcomitting on. If you see it, you're really screwed. So don't resist :)",1,1,0,1,0,1,0
"This is bad BTW as pdata supposed to be constant... But then we allocate dummy data in module init... why? Beats me. I guess software, layers, goodness.",1,1,0,1,0,0,0
"The 192-bit curve is very obscure - nothing should be using it and I've never seen anything use it anywhere. In general it should not be supported. It'll be an ignored bug sanctuary.
 
 However, if it's required that we don't change that, I can add support back in OpenSSL. Make no mistake that it's a shitty option though :(",1,1,1,1,0,0,1
"Yeah, this seems like pretty crappy behaviour.",1,1,0,1,0,0,0
"that's all? darn, I looked at this CL expecting something more fancy here...",1,1,0,1,0,0,0
I did audit all callers. All callers had to try {} catch (IllegalArgumentException) { do something else instead }. This is silly.,1,1,0,1,0,0,0
"yeah, ""reboot-bootloader any old crap can follow"" worked before, but all the old craps were just ignored silently. shall we keep that backward compatible?",1,1,1,1,0,0,0
"ya, my proposed error message sucks. Feel free to improve it.",1,1,1,1,0,1,0
"ah crap. it's what I feared (I wanted to check this in to test). The separator is going to be dependent on windows.
 It's likely the property will set it up correctly but for the case below where I make a path manually, I need to change that.",1,1,1,1,0,1,1
"This would be cleaner if just written using os.chdir before, dropping the env crap and the cwd kwarg, and then another os.chdir in a finally block (I have a nice cd contextmanager in tests/utils.py if you want to steal that).",1,1,0,1,0,0,0
"Yes. Octal number support is idiotic.
 
 I didn't make a general lint rule to flag this in Java files because lint tends to only check Android-specific issues, not general Java issues (and IntelliJ already has an octal warning if I recall correctly). It seems particularly likely to cause problems here in build.gradle since users are tempted to do things in version codes (see the associated issue)",1,1,0,1,0,1,1
crap. it is. i actually thought it was just our file. i'll send a patch upstream.,1,1,1,1,0,1,0
"And what was the decision around the try/catch-all done in a clinit? I know -1 sucks, but that's probably the less error-prone..",1,1,0,1,0,0,1
Do we really need to protect against the file system changing under our ass? I think that's a bit excessive.,1,1,1,1,1,1,1
"The PrivateKey.toString() method doesn't do anything stupid, does it?",1,1,1,1,0,1,1
crap yes of course since the loop is gone. sigh.,1,1,1,1,0,1,0
"hah. yeah, i asked because i knew from previous disappointing experiences that libc's time-related functions are garbage. :-P",1,1,1,1,0,0,1
Why the hell does it extend JButton?,1,1,0,1,0,0,1
"This is incorrect. This function returns a tuple.
 
 Ugh. Looking at the callsites, someone thought they were writing Go and returned a tuple of (result_status, pid_or_zero). Even better, it's written in the stupid C style of 0 being success.
 
 Could you tweak this to raise an exception on error instead?",1,1,0,1,0,0,1
"wtf? why aren't we just using std::string instead of char*,size_t?",1,1,0,1,0,1,0
because i'm retarded. will fix...,1,1,1,1,1,1,1
wtf,1,1,1,1,0,1,1
wtf,1,1,1,1,0,1,1
WTF,1,1,1,1,0,1,1
heh. even crappy old APIs look better with lambdas!,1,1,0,1,0,1,0
"""NDK"" and ""user written JNI"" are basically the same thing. we deliberately ship a ""too small"" sigaction for LP32 so everything works.
 
 but, yes, basically the old guys fucked up and shipped the NDK with various types wrong. the most painful of which are sigset_t, off_t, and time_t. all of these are fixed in LP64, but there's nothing we can do for LP32 that doesn't break all non-platform native code.",1,1,1,1,0,0,1
"For some stupid reason, I thought that also checked capacity. I now see I was wrong. Fixed.",1,1,1,1,0,0,1
"Indeed, that's pretty ugly. It's a bit less ugly if you actually use x86::CodeGeneratorX86.",1,1,0,1,0,0,0
"Your WaitIgnoringInterrupts obsoleted this comment a bit. That seems to be masking the interruptShouldThrow=false. But even before, this seemed to be dealing with a very odd case, since it seems to be saying WTF, how did we get an exception if we said not to be interrupted.",1,1,0,1,0,0,1
why are we adding all this crap back in? you can't pass CTS with most of these set to false. we left in the only ones you could actually mess with and still pass CTS.,1,1,1,1,0,1,1
"yeah, forcing all architectures onto the new syscalls was definitely the right choice for us. can you imagine having all this crap in bionic?",1,1,1,1,0,0,1
"ah crap, the header is wrong, thanks for pointing this out",1,1,1,1,0,1,0
"This is kinda crappy. I just realized you can't query LayoutLibrary for the API level.
 We should have a Capability for IMPROVED_VIEW_INFO or something.",1,1,0,1,0,0,0
Liar.,1,1,1,1,0,1,1
"I hate Qt's metatyping.
 
 Moved to using a private data member instead of a slot argument.",1,1,0,1,0,0,1
i hate the backwards syntax...,1,1,0,1,0,0,1
"Yeah, this sucks. I plan to update ddmlib to support notifications for when device properties & client properties have been updated from the device",1,1,1,1,0,1,0
"I hate mispellings, Ill update this tomorrow. Thanks.",1,1,0,1,0,0,0
This is dumb. Just have two possible new names and switch to another one if it's already set to the default one.,1,1,1,1,0,1,1
"The Windows build gave me crap when I didn't do this, but I probably could have avoided it here :)",1,1,1,1,0,0,1
"Your brain is deficient, please fix, also done.",1,1,0,1,0,1,1
"shoot. Yeah, you're right.",1,1,0,1,0,0,0
y u hate {s?,1,1,1,1,0,0,1
"Yeah reading the doc, getCanonincalPath will return a unique file per file (not per path).
 
 However I don't want to use canonicalpath.
 
 Java7 has a new class to handle this crap....",1,1,1,1,0,1,0
"Dammit, clearly I need more sleep.
 
 Fixed now.",1,1,0,1,0,0,1
i hate these names. are they _all_ offsets? i honestly can't tell from the existing names and comments.,1,1,0,1,0,0,1
"Damn, yes I forgot that I'm no longer serializing the original AndroidProject and the reproxied version will always (incorrectly) succeed in deserialize. I've added the version check (not exactly sure I'm checking the right thing tho)",1,1,0,1,0,0,0
"I'd just as soon toss these ugly logging statements, since the oob data comes from disk",1,1,0,1,0,0,1
"(i think you're right to include this, but... yuck!)",1,1,0,1,0,0,1
"Both clang and GCC are pretty stupid about this warning.
 
  struct foo = {}; // emits warning
 
 Eventually this will all be C++ and we'll just have real constructors, but this will do for now.",1,1,1,1,0,1,1
"Groovy is awful, so no.
 
 Also, this is in builder, not gradle so there's no groovy available here.",1,1,0,1,0,0,1
silly me. I was xref-ing without your patch.,1,1,0,1,0,0,0
"man. the other two were dumb, but this is actually insane.",1,1,1,1,0,1,1
"Damn, we should not need this, I'll also take a look.",1,1,1,1,0,0,0
that's actually a possibility? yuck!,1,1,0,1,0,0,1
This stupid reviewer error (leaving the scrolllock test mode on when committing) was fixed with commit d38459355e3e845ad8db3c515536267923afe3ec,1,1,1,1,0,1,1
"because of this bullshit here i had to revert this commit on master as it was filling up /tmp here and it looks like on CI too:
 
 http://ci.libreoffice.org/job/lo_gerrit/2999/Config=linux_gcc_release_64/console",1,1,1,1,0,1,1
This 'TerminationFlag' is somewhat ugly... Global variables are always ugly.,1,1,0,1,0,1,1
"Yeah, ugly beast. I'll need to have a closer look, so either you wait for that, or back this out (and submit separately).",1,1,1,1,0,1,0
rubbish,1,1,0,1,0,1,1
rubbish,1,1,0,1,0,1,1
more rubbish,1,1,0,1,0,1,1
"Oh, yeah, what a crap. Maybe use this cleanup commit to finally get rid of that odd --language handling for good.",1,1,1,1,0,1,0
"ach, damn, there's a
 
  rtl_uString_release(newData);
 
 missing, right?",1,1,0,1,0,0,1
Kill most of this code with fire ...,1,1,1,1,0,1,1
I guess ugly SearchAlgorithms::SearchAlgorithms_MAKE_FIXED_SIZE would be OK here for this kludge-anyway,1,1,0,1,0,0,0
"I guess it was retaliation :-) for having me waste so much time
 to figure out what that stupid construct was doing... only
 to find-out that it was just a convoluted way to do a trivial
 scalar type cast... via a Template no less...!!!",1,1,0,1,0,0,1
"Darn, and the usual MSVC std::max() confusion.",1,1,0,1,0,0,0
"this looks kind of ugly... Why not (a) again ""///<"" or (b) move it above the line as ""/** ... */"" ?",1,1,0,1,0,0,0
wtf is the reason for that (preexisting) nonsense?,1,1,0,1,0,1,1
"What a silly error did I make!
 Done, of course.",1,1,0,1,0,0,0
"there is no way this compiled, what is this rubbish?",1,1,0,1,0,1,1
Useless change. Drop it from your next patchset.,1,1,0,1,0,0,1
Urk. Wow. This is terrible. You unearthed quite a wart here -,1,1,0,1,0,0,0
"no magic.. just this coder dumbness
 tried another way...",1,1,0,1,0,0,0
"This block is rather lame, what about using some triple ? operator :",1,1,0,1,0,0,1
"replaced with a full expansion on the tuple, you whiny bitch ;)",1,1,1,1,1,1,1
"Ah okay, stupid tuple.",1,1,1,1,0,1,0
Ack. SAFEARRAY sucks.,1,1,1,1,0,1,0
This is screwed up... Stupid clang-format.,1,1,1,1,0,1,0
"Err... shit. Yeah, I am. Fixed it locally, uploading shortly since that's a bit of an ass kicker.",1,1,1,1,1,1,1
"yeah; forgot: Those are auto generated, and thus idiot proof. --idiot",1,1,1,1,0,1,1
"hey look, @@@BULLSHIT@@@. ðŸ’©",1,1,1,1,0,1,1
<idiot>Forgot to upload.</idiot>,1,1,1,1,0,1,1
Ah ok. Stupid Gerrit...,1,1,1,1,0,1,0
"ah, shit. will fix.",1,1,1,1,1,1,1
Crap. C++ bites me in the ass again. :) Fixed (and everywhere else I got this wrong).,1,1,1,1,1,1,1
"damn stupid script :P
 
 will fix.",1,1,1,1,0,1,1
Because Python is stupid.,1,1,1,1,0,1,1
"ahrg, stupid backport mistake... will fix",1,1,0,1,0,1,1
"This naming sucks. Better
 
  for test_specs in test_specs_list
 
 or
 
  for test_spec in test_specs",1,1,0,1,0,0,0
idiot q - why so many ids?,1,1,1,1,0,1,1
stupid Eclipse...,1,1,1,1,0,1,1
you should kill is_checked now,1,1,1,1,0,1,1
"Yes, checkpatch is a rather stupid style checker.",1,1,1,1,0,1,0
"F*@#
 
 i hate mornings.",1,1,1,1,0,1,1
"force LC_ALL=C else you can get localization here.
 
 Also, that's fucking horrible. ;)",1,1,1,1,1,1,1
"s/int/size_t/
 
 (or if you want to be anal, vector<string>::size_type)",1,1,0,1,0,0,1
"heh, because dash sucks and allows you to do this kind of crap. yes, this should be fixed.",1,1,1,1,0,1,0
"negate=negate, although that's being anal...",1,1,0,1,0,1,1
"...shut up, smartypants.",1,1,1,1,0,1,1
once'. Keyboard was being particularly shitty that day...,1,1,1,1,0,1,1
grubbing down into internals here kind of sucks,1,1,1,1,0,1,0
Damn you and your relevant nits.,1,1,1,1,0,1,1
more u-boot crap.,1,1,1,1,0,1,0
"Really? But... it's totally constant... :(
 
 Stupid compiler. Okay. Your way then.",1,1,1,1,0,1,0
same rant about using the standard shit. Done.,1,1,1,1,1,1,1
"A typo, I'm sure. Let me go track down the idiot who wrote that in the first place. Oh wait, it's me.",1,1,1,1,0,1,1
"Just to be anal, there is an extra newline here.",1,1,0,1,0,1,1
well that's just fsckin moronic,1,1,1,1,0,1,0
"#ifdef CONFIG_PM_RUNTIME
 
 if you are feeling very anal about saving 1 byte...",1,1,0,1,0,0,1
it scopes the lifetime of the iv[]? Probably helps the compiler generates less shitty code.,1,1,1,1,0,1,1
Jerk.,1,1,1,1,0,1,1
"stupid rebase error, sorry about that, fixed.",1,1,0,1,0,1,1
Death to ret! Mwahahahaha.,1,1,0,1,0,1,1
are we really polling? That sort of sucks,1,1,1,1,0,1,0
"Yay! Death to on these obscurely named suckers!
 
 [Another name idea: PreCommitDataUse]",1,1,0,1,0,1,0
"Yes, stupid linter. Complains that I shouldn't put ; after }",1,1,1,1,0,1,1
d'oh... stupid copy+paste error.,1,1,1,1,0,1,0
